"Time (s) Magnetisk strøfelt,""Magnetic Field Strength (1X) (T) Magnetisk strøfelt"",""Time (s) Avvik 100s"",""Magnetic Field Strength (1X) (T) Avvik 100s"",""Time (s) Avvik 10s"",""Magnetic Field Strength (1X) (T) Avvik 10s"",""Time (s) Avvik 1s"",""Magnetic Field Strength (1X) (T) Avvik 1s"""
0.000,3E-5,0.000,3E-6,0.000,1E-6,0.000,-2E-7
0.100,3E-5,0.100,2E-6,0.100,1E-6,0.100,-3E-6
0.200,3E-5,0.200,3E-6,0.200,-2E-8,0.200,-1E-6
0.300,3E-5,0.300,2E-6,0.300,1E-6,0.300,-2E-6
0.400,3E-5,0.400,3E-6,0.400,1E-6,0.400,-2E-6
0.500,3E-5,0.500,2E-6,0.500,5E-7,0.500,-4E-6
0.600,3E-5,0.600,9E-7,0.600,3E-6,0.600,-2E-6
0.700,3E-5,0.700,9E-7,0.700,2E-6,0.700,-2E-6
0.800,3E-5,0.800,1E-6,0.800,2E-6,0.800,-4E-6
0.900,3E-5,0.900,1E-6,0.900,2E-6,0.900,-3E-6
1.000,3E-5,1.000,8E-7,1.000,1E-6,1.000,-4E-6
1.100,3E-5,1.100,2E-6,1.100,-1E-6,1.100,-3E-6
1.200,3E-5,1.200,3E-6,1.200,-1E-7,1.200,-4E-6
1.300,2E-5,1.300,2E-6,1.300,2E-6,1.300,-3E-6
1.400,2E-5,1.400,1E-6,1.400,6E-7,,
1.500,1E-5,1.500,-7E-7,1.500,-1E-7,,
1.600,1E-5,1.600,9E-7,1.600,6E-7,,
1.700,1E-5,1.700,1E-6,1.700,3E-6,,
1.800,1E-5,1.800,8E-7,1.800,5E-8,,
1.900,1E-5,1.900,3E-6,1.900,2E-6,,
2.000,1E-5,2.000,2E-6,2.000,1E-6,,
2.100,1E-5,2.100,2E-6,2.100,-1E-7,,
2.200,9E-6,2.200,2E-6,2.200,2E-8,,
2.300,6E-6,2.300,3E-7,2.300,-9E-7,,
2.400,9E-7,2.400,-4E-8,2.400,-2E-6,,
2.500,3E-6,2.500,8E-7,2.500,2E-6,,
2.600,2E-6,2.600,1E-6,2.600,6E-7,,
2.700,4E-6,2.700,1E-6,2.700,1E-6,,
2.800,7E-6,2.800,3E-6,2.800,-2E-7,,
2.900,4E-6,2.900,3E-6,2.900,-8E-7,,
3.000,6E-6,3.000,-6E-7,3.000,-2E-6,,
3.100,6E-6,3.100,2E-6,3.100,-2E-6,,
3.200,9E-6,3.200,1E-6,3.200,-3E-6,,
3.300,7E-6,3.300,1E-6,3.300,-7E-7,,
3.400,8E-6,3.400,1E-6,3.400,-9E-7,,
3.500,6E-6,3.500,8E-7,3.500,1E-6,,
3.600,7E-6,3.600,-3E-7,3.600,1E-6,,
3.700,8E-6,3.700,-3E-7,3.700,-7E-7,,
3.800,7E-6,3.800,-1E-6,3.800,-7E-7,,
3.900,1E-5,3.900,6E-7,3.900,1E-7,,
4.000,1E-5,4.000,2E-6,4.000,1E-6,,
4.100,1E-5,4.100,8E-7,4.100,-6E-7,,
4.200,1E-5,4.200,-2E-6,4.200,2E-6,,
4.300,1E-5,4.300,-2E-6,4.300,-2E-6,,
4.400,2E-5,4.400,1E-6,4.400,2E-6,,
4.500,2E-5,4.500,1E-6,4.500,3E-7,,
4.600,1E-5,4.600,-2E-6,4.600,1E-6,,
4.700,1E-5,4.700,-4E-7,4.700,7E-7,,
4.800,1E-5,4.800,6E-7,4.800,9E-7,,
4.900,9E-6,4.900,-7E-7,4.900,-6E-8,,
5.000,1E-5,5.000,-1E-6,5.000,1E-7,,
5.100,2E-5,5.100,-5E-7,5.100,-2E-6,,
5.200,2E-5,5.200,-6E-7,5.200,-4E-7,,
5.300,3E-5,5.300,-2E-6,5.300,9E-8,,
5.400,3E-5,5.400,-3E-6,5.400,-2E-7,,
5.500,3E-5,5.500,-2E-6,5.500,-3E-7,,
5.600,3E-5,5.600,-2E-6,5.600,-3E-8,,
5.700,2E-5,5.700,-2E-7,5.700,-2E-6,,
5.800,2E-5,5.800,-1E-6,5.800,-9E-7,,
5.900,2E-5,5.900,-6E-7,5.900,-8E-7,,
6.000,2E-5,6.000,-1E-6,6.000,-2E-6,,
6.100,2E-5,6.100,-8E-7,6.100,-1E-6,,
6.200,3E-5,6.200,-3E-6,6.200,-1E-6,,
6.300,3E-5,6.300,-2E-6,6.300,5E-7,,
6.400,3E-5,6.400,-5E-7,6.400,-4E-6,,
6.500,3E-5,6.500,-1E-6,6.500,-2E-7,,
6.600,3E-5,6.600,-4E-7,6.600,-1E-6,,
6.700,3E-5,6.700,-1E-6,6.700,-2E-6,,
6.800,2E-5,6.800,-2E-6,6.800,-3E-6,,
6.900,2E-5,6.900,-2E-6,6.900,-2E-6,,
7.000,2E-5,7.000,-2E-6,7.000,-9E-7,,
7.100,2E-5,7.100,-2E-6,7.100,-1E-6,,
7.200,2E-5,7.200,-2E-6,7.200,-2E-6,,
7.300,2E-5,7.300,-3E-6,7.300,-2E-6,,
7.400,2E-5,7.400,-2E-6,7.400,-3E-6,,
7.500,2E-5,7.500,-1E-6,7.500,-2E-6,,
7.600,2E-5,7.600,-3E-6,7.600,-4E-6,,
7.700,8E-6,7.700,-5E-6,7.700,-2E-6,,
7.800,-1E-5,7.800,-2E-6,7.800,-2E-6,,
7.900,-1E-6,7.900,-2E-6,7.900,-4E-6,,
8.000,2E-5,8.000,-3E-6,8.000,-2E-6,,
8.100,3E-5,8.100,-2E-6,8.100,-2E-6,,
8.200,2E-5,8.200,-2E-6,8.200,2E-7,,
8.300,2E-5,8.300,-3E-6,8.300,-4E-6,,
8.400,2E-5,8.400,-3E-6,8.400,-3E-6,,
8.500,2E-5,8.500,-3E-6,8.500,-2E-6,,
8.600,2E-5,8.600,-2E-6,8.600,-1E-6,,
8.700,2E-5,8.700,-4E-6,8.700,-2E-6,,
8.800,2E-5,8.800,-9E-7,8.800,-3E-6,,
8.900,2E-5,8.900,-1E-6,8.900,-3E-6,,
9.000,2E-5,9.000,-3E-6,9.000,-3E-6,,
9.100,2E-5,9.100,-5E-6,9.100,-4E-6,,
9.200,2E-5,9.200,-3E-6,9.200,-4E-6,,
9.300,2E-5,9.300,-1E-6,9.300,-3E-6,,
9.400,2E-5,9.400,-1E-6,9.400,-3E-6,,
9.500,1E-5,9.500,-2E-6,9.500,-2E-6,,
9.600,1E-5,9.600,-4E-6,9.600,-2E-6,,
9.700,1E-5,9.700,-2E-6,9.700,-3E-6,,
9.800,1E-5,9.800,-3E-6,9.800,-2E-6,,
9.900,1E-5,9.900,-2E-6,9.900,-5E-6,,
10.000,2E-6,10.000,-2E-6,10.000,-2E-6,,
10.100,-2E-5,10.100,-4E-6,10.100,-3E-6,,
10.200,-2E-5,10.200,-1E-6,10.200,-6E-6,,
10.300,-2E-5,10.300,-7E-7,,,,
10.400,-2E-5,10.400,-3E-6,,,,
10.500,-2E-5,10.500,-1E-6,,,,
10.600,-2E-5,10.600,-1E-6,,,,
10.700,-2E-5,10.700,-4E-6,,,,
10.800,-2E-5,10.800,5E-8,,,,
10.900,-2E-5,10.900,-3E-6,,,,
11.000,-2E-5,11.000,-4E-6,,,,
11.100,-2E-5,11.100,-4E-6,,,,
11.200,-2E-5,11.200,-2E-6,,,,
11.300,-2E-5,11.300,-3E-6,,,,
11.400,-2E-5,11.400,-4E-6,,,,
11.500,-2E-5,11.500,-3E-6,,,,
11.600,-2E-5,11.600,-3E-6,,,,
11.700,-1E-5,11.700,-5E-6,,,,
11.800,-2E-5,11.800,-3E-6,,,,
11.900,-2E-5,11.900,-4E-6,,,,
12.000,-2E-5,12.000,-5E-6,,,,
12.100,-2E-5,12.100,-3E-6,,,,
12.200,-2E-5,12.200,-3E-6,,,,
12.300,-2E-5,12.300,-4E-6,,,,
12.400,-2E-5,12.400,-3E-6,,,,
12.500,-6E-6,12.500,-3E-6,,,,
12.600,6E-6,12.600,-5E-6,,,,
12.700,-4E-6,12.700,-3E-6,,,,
12.800,3E-6,12.800,-6E-6,,,,
12.900,8E-6,12.900,-5E-6,,,,
13.000,2E-5,13.000,-5E-6,,,,
13.100,2E-5,13.100,-6E-6,,,,
13.200,2E-5,13.200,-6E-6,,,,
13.300,2E-5,13.300,-8E-6,,,,
13.400,3E-5,13.400,-4E-6,,,,
13.500,3E-5,13.500,-6E-6,,,,
13.600,2E-5,13.600,-4E-6,,,,
13.700,3E-5,13.700,-6E-6,,,,
13.800,3E-5,13.800,-6E-6,,,,
13.900,3E-5,13.900,-5E-6,,,,
14.000,3E-5,14.000,-7E-6,,,,
14.100,3E-5,14.100,-5E-6,,,,
14.200,2E-5,14.200,-5E-6,,,,
14.300,2E-5,14.300,-4E-6,,,,
14.400,2E-5,14.400,-7E-6,,,,
14.500,2E-5,14.500,-6E-6,,,,
14.600,2E-5,14.600,-7E-6,,,,
14.700,2E-5,14.700,-4E-6,,,,
14.800,2E-5,14.800,-6E-6,,,,
14.900,2E-5,14.900,-8E-6,,,,
15.000,2E-5,15.000,-6E-6,,,,
15.100,2E-5,15.100,-7E-6,,,,
15.200,2E-5,15.200,-6E-6,,,,
15.300,2E-5,15.300,-7E-6,,,,
15.400,2E-5,15.400,-5E-6,,,,
15.500,2E-5,15.500,-7E-6,,,,
15.600,2E-5,15.600,-7E-6,,,,
15.700,3E-5,15.700,-5E-6,,,,
15.800,2E-5,15.800,-5E-6,,,,
15.900,2E-5,15.900,-8E-6,,,,
16.000,2E-5,16.000,-1E-5,,,,
16.100,3E-5,16.100,-8E-6,,,,
16.200,3E-5,16.200,-7E-6,,,,
16.300,3E-5,16.300,-7E-6,,,,
16.400,3E-5,16.400,-5E-6,,,,
16.500,3E-5,16.500,-6E-6,,,,
16.600,3E-5,16.600,-5E-6,,,,
16.700,3E-5,16.700,-6E-6,,,,
16.800,3E-5,16.800,-6E-6,,,,
16.900,3E-5,16.900,-9E-6,,,,
17.000,8E-6,17.000,-9E-6,,,,
17.100,2E-7,17.100,-6E-6,,,,
17.200,-8E-7,17.200,-9E-6,,,,
17.300,-2E-6,17.300,-7E-6,,,,
17.400,-1E-6,17.400,-7E-6,,,,
17.500,-2E-6,17.500,-6E-6,,,,
17.600,-1E-6,17.600,-5E-6,,,,
17.700,-1E-6,17.700,-6E-6,,,,
17.800,-4E-6,17.800,-5E-6,,,,
17.900,-5E-6,17.900,-8E-6,,,,
18.000,-5E-6,18.000,-6E-6,,,,
18.100,-5E-6,18.100,-7E-6,,,,
18.200,-8E-6,18.200,-7E-6,,,,
18.300,-1E-5,18.300,-7E-6,,,,
18.400,-5E-6,18.400,-7E-6,,,,
18.500,2E-6,18.500,-7E-6,,,,
18.600,6E-6,18.600,-8E-6,,,,
18.700,8E-6,18.700,-7E-6,,,,
18.800,1E-5,18.800,-7E-6,,,,
18.900,1E-5,18.900,-7E-6,,,,
19.000,1E-5,19.000,-7E-6,,,,
19.100,1E-5,19.100,-8E-6,,,,
19.200,1E-5,19.200,-9E-6,,,,
19.300,4E-6,19.300,-9E-6,,,,
19.400,6E-6,19.400,-8E-6,,,,
19.500,9E-6,19.500,-1E-5,,,,
19.600,1E-5,19.600,-9E-6,,,,
19.700,1E-5,19.700,-9E-6,,,,
19.800,2E-5,19.800,-8E-6,,,,
19.900,2E-5,19.900,-7E-6,,,,
20.000,2E-5,20.000,-9E-6,,,,
20.100,2E-5,20.100,-8E-6,,,,
20.200,2E-5,20.200,-8E-6,,,,
20.300,2E-5,20.300,-8E-6,,,,
20.400,2E-5,20.400,-8E-6,,,,
20.500,2E-5,20.500,-8E-6,,,,
20.600,2E-5,20.600,-9E-6,,,,
20.700,2E-5,20.700,-8E-6,,,,
20.800,2E-5,20.800,-9E-6,,,,
20.900,2E-5,20.900,-1E-5,,,,
21.000,2E-5,21.000,-9E-6,,,,
21.100,2E-5,21.100,-1E-5,,,,
21.200,2E-5,21.200,-9E-6,,,,
21.300,2E-5,21.300,-8E-6,,,,
21.400,1E-5,21.400,-1E-5,,,,
21.500,2E-5,21.500,-1E-5,,,,
21.600,2E-5,21.600,-1E-5,,,,
21.700,2E-5,21.700,-9E-6,,,,
21.800,2E-5,21.800,-1E-5,,,,
21.900,2E-5,21.900,-1E-5,,,,
22.000,2E-5,22.000,-1E-5,,,,
22.100,1E-5,22.100,-1E-5,,,,
22.200,1E-5,22.200,-1E-5,,,,
22.300,1E-5,22.300,-1E-5,,,,
22.400,1E-5,22.400,-1E-5,,,,
22.500,2E-5,22.500,-1E-5,,,,
22.600,2E-5,22.600,-1E-5,,,,
22.700,2E-5,22.700,-1E-5,,,,
22.800,2E-5,22.800,-1E-5,,,,
22.900,2E-5,22.900,-1E-5,,,,
23.000,2E-5,23.000,-1E-5,,,,
23.100,1E-5,23.100,-1E-5,,,,
23.200,1E-5,23.200,-1E-5,,,,
23.300,1E-5,23.300,-1E-5,,,,
23.400,5E-6,23.400,-1E-5,,,,
23.500,3E-7,23.500,-8E-6,,,,
23.600,5E-6,23.600,-1E-5,,,,
23.700,1E-5,23.700,-1E-5,,,,
23.800,2E-5,23.800,-1E-5,,,,
23.900,2E-5,23.900,-1E-5,,,,
24.000,2E-5,24.000,-1E-5,,,,
24.100,2E-5,24.100,-9E-6,,,,
24.200,1E-5,24.200,-1E-5,,,,
24.300,2E-5,24.300,-1E-5,,,,
24.400,2E-5,24.400,-1E-5,,,,
24.500,1E-5,24.500,-1E-5,,,,
24.600,5E-6,24.600,-1E-5,,,,
24.700,-2E-6,24.700,-1E-5,,,,
24.800,-7E-6,24.800,-1E-5,,,,
24.900,-9E-6,24.900,-9E-6,,,,
25.000,-1E-5,25.000,-9E-6,,,,
25.100,-1E-5,25.100,-1E-5,,,,
25.200,-1E-5,25.200,-1E-5,,,,
25.300,-1E-5,25.300,-9E-6,,,,
25.400,-1E-5,25.400,-8E-6,,,,
25.500,-2E-5,25.500,-1E-5,,,,
25.600,-2E-5,25.600,-1E-5,,,,
25.700,-2E-5,25.700,-1E-5,,,,
25.800,-2E-5,25.800,-1E-5,,,,
25.900,-2E-5,25.900,-1E-5,,,,
26.000,-2E-5,26.000,-1E-5,,,,
26.100,-2E-5,26.100,-1E-5,,,,
26.200,-2E-5,26.200,-1E-5,,,,
26.300,-8E-6,26.300,-1E-5,,,,
26.400,-4E-6,26.400,-1E-5,,,,
26.500,-2E-6,26.500,-1E-5,,,,
26.600,6E-6,26.600,-1E-5,,,,
26.700,1E-5,26.700,-1E-5,,,,
26.800,2E-5,26.800,-1E-5,,,,
26.900,1E-5,26.900,-1E-5,,,,
27.000,2E-5,27.000,-1E-5,,,,
27.100,2E-5,27.100,-1E-5,,,,
27.200,1E-5,27.200,-1E-5,,,,
27.300,1E-5,27.300,-1E-5,,,,
27.400,1E-5,27.400,-1E-5,,,,
27.500,1E-5,27.500,-9E-6,,,,
27.600,9E-6,27.600,-1E-5,,,,
27.700,1E-5,27.700,-1E-5,,,,
27.800,9E-6,27.800,-1E-5,,,,
27.900,1E-5,27.900,-1E-5,,,,
28.000,1E-5,28.000,-1E-5,,,,
28.100,1E-5,28.100,-1E-5,,,,
28.200,1E-5,28.200,-9E-6,,,,
28.300,1E-5,28.300,-1E-5,,,,
28.400,1E-5,28.400,-1E-5,,,,
28.500,7E-6,28.500,-1E-5,,,,
28.600,1E-5,28.600,-1E-5,,,,
28.700,1E-5,28.700,-1E-5,,,,
28.800,1E-5,28.800,-1E-5,,,,
28.900,1E-5,28.900,-1E-5,,,,
29.000,1E-5,29.000,-1E-5,,,,
29.100,1E-5,29.100,-1E-5,,,,
29.200,1E-5,29.200,-1E-5,,,,
29.300,1E-5,29.300,-1E-5,,,,
29.400,9E-6,29.400,-1E-5,,,,
29.500,9E-6,29.500,-1E-5,,,,
29.600,1E-5,29.600,-1E-5,,,,
29.700,1E-5,29.700,-1E-5,,,,
29.800,1E-5,29.800,-1E-5,,,,
29.900,1E-5,29.900,-1E-5,,,,
30.000,1E-5,30.000,-2E-5,,,,
30.100,9E-6,30.100,-1E-5,,,,
30.200,9E-6,30.200,-1E-5,,,,
30.300,9E-6,30.300,-1E-5,,,,
30.400,1E-5,30.400,-2E-5,,,,
30.500,1E-5,30.500,-1E-5,,,,
30.600,1E-5,30.600,-1E-5,,,,
30.700,1E-5,30.700,-1E-5,,,,
30.800,6E-6,30.800,-1E-5,,,,
30.900,7E-6,30.900,-2E-5,,,,
31.000,5E-6,31.000,-2E-5,,,,
31.100,3E-6,31.100,-2E-5,,,,
31.200,-2E-6,31.200,-2E-5,,,,
31.300,2E-6,31.300,-2E-5,,,,
31.400,2E-6,31.400,-2E-5,,,,
31.500,2E-6,31.500,-2E-5,,,,
31.600,-2E-6,31.600,-2E-5,,,,
31.700,-1E-5,31.700,-2E-5,,,,
31.800,-2E-5,31.800,-2E-5,,,,
31.900,-3E-5,31.900,-2E-5,,,,
32.000,-1E-5,32.000,-2E-5,,,,
32.100,-1E-5,32.100,-2E-5,,,,
32.200,-2E-5,32.200,-2E-5,,,,
32.300,-1E-5,32.300,-1E-5,,,,
32.400,-1E-5,32.400,-1E-5,,,,
32.500,-2E-5,32.500,-1E-5,,,,
32.600,-1E-5,32.600,-1E-5,,,,
32.700,-2E-5,32.700,-1E-5,,,,
32.800,-2E-5,32.800,-1E-5,,,,
32.900,-1E-5,32.900,-1E-5,,,,
33.000,-1E-5,33.000,-2E-5,,,,
33.100,-3E-5,33.100,-1E-5,,,,
33.200,-3E-5,33.200,-2E-5,,,,
33.300,-2E-5,33.300,-2E-5,,,,
33.400,-2E-5,33.400,-1E-5,,,,
33.500,-3E-5,33.500,-2E-5,,,,
33.600,-3E-5,33.600,-2E-5,,,,
33.700,-2E-5,33.700,-2E-5,,,,
33.800,-2E-5,33.800,-1E-5,,,,
33.900,-9E-6,33.900,-2E-5,,,,
34.000,-2E-5,34.000,-2E-5,,,,
34.100,-3E-5,34.100,-2E-5,,,,
34.200,-2E-5,34.200,-1E-5,,,,
34.300,-3E-5,34.300,-1E-5,,,,
34.400,-2E-5,34.400,-2E-5,,,,
34.500,-1E-5,34.500,-1E-5,,,,
34.600,-1E-5,34.600,-1E-5,,,,
34.700,-1E-5,34.700,-1E-5,,,,
34.800,-1E-5,34.800,-1E-5,,,,
34.900,-1E-5,34.900,-2E-5,,,,
35.000,-2E-5,35.000,-1E-5,,,,
35.100,-1E-5,35.100,-2E-5,,,,
35.200,-1E-5,35.200,-2E-5,,,,
35.300,-1E-5,35.300,-1E-5,,,,
35.400,-1E-5,35.400,-1E-5,,,,
35.500,-1E-5,35.500,-2E-5,,,,
35.600,-1E-5,35.600,-1E-5,,,,
35.700,-1E-5,35.700,-1E-5,,,,
35.800,-1E-5,35.800,-2E-5,,,,
35.900,-1E-5,35.900,-1E-5,,,,
36.000,-1E-5,36.000,-1E-5,,,,
36.100,-1E-5,36.100,-1E-5,,,,
36.200,-2E-5,36.200,-2E-5,,,,
36.300,-2E-5,36.300,-2E-5,,,,
36.400,-3E-5,36.400,-2E-5,,,,
36.500,-2E-5,36.500,-2E-5,,,,
36.600,-2E-5,36.600,-1E-5,,,,
36.700,-2E-5,36.700,-1E-5,,,,
36.800,-1E-5,36.800,-2E-5,,,,
36.900,-4E-6,36.900,-2E-5,,,,
37.000,-2E-6,37.000,-2E-5,,,,
37.100,-9E-6,37.100,-2E-5,,,,
37.200,-3E-5,37.200,-2E-5,,,,
37.300,-3E-5,37.300,-2E-5,,,,
37.400,-3E-5,37.400,-1E-5,,,,
37.500,-3E-5,37.500,-2E-5,,,,
37.600,-3E-5,37.600,-2E-5,,,,
37.700,-3E-5,37.700,-2E-5,,,,
37.800,-2E-5,37.800,-2E-5,,,,
