"Time (s) Solenoide,""Position (m) Solenoide"",""Magnetic Field Strength (1X) (T) Solenoide"""
0.000,0.0000,5E-5
0.050,0.0000,
0.100,0.0000,5E-5
0.150,0.0000,
0.200,0.0000,5E-5
0.250,0.0000,
0.300,0.0000,5E-5
0.350,0.0000,
0.400,0.0000,5E-5
0.450,0.0000,
0.500,0.0000,5E-5
0.550,0.0000,
0.600,0.0000,5E-5
0.650,0.0000,
0.700,0.0000,5E-5
0.750,0.0000,
0.800,0.0000,5E-5
0.850,0.0000,
0.900,0.0000,5E-5
0.950,0.0000,
1.000,0.0000,5E-5
1.050,0.0000,
1.100,0.0000,5E-5
1.150,0.0000,
1.200,0.0000,5E-5
1.250,0.0000,
1.300,1.7500E-4,5E-5
1.350,1.3125E-4,
1.400,2.1875E-4,5E-5
1.450,2.6250E-4,
1.500,1.7500E-4,5E-5
1.550,2.1875E-4,
1.600,3.5000E-4,5E-5
1.650,3.9375E-4,
1.700,4.8125E-4,5E-5
1.750,5.6875E-4,
1.800,6.1250E-4,5E-5
1.850,6.1250E-4,
1.900,6.1250E-4,5E-5
1.950,6.5625E-4,
2.000,6.5625E-4,5E-5
2.050,7.8750E-4,
2.100,8.7500E-4,5E-5
2.150,8.7500E-4,
2.200,8.7500E-4,5E-5
2.250,8.7500E-4,
2.300,0.0010,5E-5
2.350,0.0014,
2.400,0.0017,5E-5
2.450,0.0023,
2.500,0.0031,5E-5
2.550,0.0041,
2.600,0.0051,5E-5
2.650,0.0059,
2.700,0.0065,5E-5
2.750,0.0070,
2.800,0.0076,5E-5
2.850,0.0084,
2.900,0.0095,6E-5
2.950,0.0108,
3.000,0.0122,6E-5
3.050,0.0135,
3.100,0.0147,6E-5
3.150,0.0160,
3.200,0.0173,6E-5
3.250,0.0186,
3.300,0.0200,7E-5
3.350,0.0212,
3.400,0.0223,7E-5
3.450,0.0234,
3.500,0.0243,8E-5
3.550,0.0251,
3.600,0.0260,8E-5
3.650,0.0271,
3.700,0.0281,8E-5
3.750,0.0291,
3.800,0.0301,9E-5
3.850,0.0312,
3.900,0.0326,9E-5
3.950,0.0341,
4.000,0.0357,1E-4
4.050,0.0375,
4.100,0.0395,1E-4
4.150,0.0416,
4.200,0.0437,1E-4
4.250,0.0458,
4.300,0.0478,1E-4
4.350,0.0494,
4.400,0.0507,1E-4
4.450,0.0518,
4.500,0.0527,1E-4
4.550,0.0536,
4.600,0.0545,1E-4
4.650,0.0553,
4.700,0.0558,2E-4
4.750,0.0564,
4.800,0.0570,2E-4
4.850,0.0577,
4.900,0.0587,2E-4
4.950,0.0599,
5.000,0.0613,2E-4
5.050,0.0629,
5.100,0.0644,2E-4
5.150,0.0658,
5.200,0.0669,2E-4
5.250,0.0679,
5.300,0.0689,2E-4
5.350,0.0699,
5.400,0.0709,2E-4
5.450,0.0719,
5.500,0.0729,2E-4
5.550,0.0741,
5.600,0.0753,3E-4
5.650,0.0768,
5.700,0.0786,3E-4
5.750,0.0805,
5.800,0.0826,3E-4
5.850,0.0847,
5.900,0.0866,3E-4
5.950,0.0884,
6.000,0.0902,4E-4
6.050,0.0921,
6.100,0.0940,4E-4
6.150,0.0959,
6.200,0.0977,5E-4
6.250,0.0995,
6.300,0.1013,5E-4
6.350,0.1029,
6.400,0.1042,5E-4
6.450,0.1054,
6.500,0.1066,6E-4
6.550,0.1078,
6.600,0.1093,6E-4
6.650,0.1109,
6.700,0.1123,6E-4
6.750,0.1138,
6.800,0.1150,6E-4
6.850,0.1158,
6.900,0.1165,7E-4
6.950,0.1171,
7.000,0.1176,7E-4
7.050,0.1184,
7.100,0.1195,7E-4
7.150,0.1209,
7.200,0.1227,7E-4
7.250,0.1249,
7.300,0.1271,8E-4
7.350,0.1294,
7.400,0.1316,8E-4
7.450,0.1334,
7.500,0.1350,8E-4
7.550,0.1365,
7.600,0.1380,8E-4
7.650,0.1394,
7.700,0.1410,9E-4
7.750,0.1428,
7.800,0.1447,9E-4
7.850,0.1467,
7.900,0.1488,9E-4
7.950,0.1508,
8.000,0.1529,9E-4
8.050,0.1550,
8.100,0.1570,9E-4
8.150,0.1590,
8.200,0.1608,1E-3
8.250,0.1623,
8.300,0.1637,1E-3
8.350,0.1647,
8.400,0.1656,1E-3
8.450,0.1664,
8.500,0.1673,1E-3
8.550,0.1684,
8.600,0.1698,1E-3
8.650,0.1714,
8.700,0.1732,0
8.750,0.1751,
8.800,0.1771,0
8.850,0.1793,
8.900,0.1816,0
8.950,0.1838,
9.000,0.1859,0
9.050,0.1879,
9.100,0.1897,0
9.150,0.1915,
9.200,0.1932,0
9.250,0.1948,
9.300,0.1965,0
9.350,0.1982,
9.400,0.1999,0
9.450,0.2015,
9.500,0.2031,0
9.550,0.2046,
9.600,0.2061,0
9.650,0.2075,
9.700,0.2090,0
9.750,0.2106,
9.800,0.2122,0
9.850,0.2138,
9.900,0.2154,0
9.950,0.2169,
10.000,0.2183,0
10.050,0.2199,
10.100,0.2217,0
10.150,0.2235,
10.200,0.2253,0
10.250,0.2269,
10.300,0.2283,0
10.350,0.2298,
10.400,0.2317,0
10.450,0.2339,
10.500,0.2364,0
10.550,0.2387,
10.600,0.2412,0
10.650,0.2433,
10.700,0.2448,0
10.750,0.2460,
10.800,0.2469,0
10.850,0.2476,
10.900,0.2485,0
10.950,0.2494,
11.000,0.2506,0
11.050,0.2518,
11.100,0.2534,0
11.150,0.2553,
11.200,0.2575,0
11.250,0.2599,
11.300,0.2624,0
11.350,0.2648,
11.400,0.2671,0
11.450,0.2693,
11.500,0.2712,0
11.550,0.2729,
11.600,0.2746,0
11.650,0.2765,
11.700,0.2784,0
11.750,0.2803,
11.800,0.2828,0
11.850,0.2851,
11.900,0.2868,0
11.950,0.2884,
12.000,0.2901,0
12.050,0.2915,
12.100,0.2929,0
12.150,0.2946,
12.200,0.2964,0
12.250,0.2981,
12.300,0.2998,0
12.350,0.3014,
12.400,0.3030,0
12.450,0.3045,
12.500,0.3062,0
12.550,0.3081,
12.600,0.3100,0
12.650,0.3119,
12.700,0.3136,0
12.750,0.3153,
12.800,0.3171,0
12.850,0.3188,
12.900,0.3206,0
12.950,0.3226,
13.000,0.3247,0
13.050,0.3266,
13.100,0.3283,0
13.150,0.3297,
13.200,0.3307,0
13.250,0.3319,
13.300,0.3334,0
13.350,0.3349,
13.400,0.3367,0
13.450,0.3387,
13.500,0.3409,0
13.550,0.3431,
13.600,0.3453,0
13.650,0.3473,
13.700,0.3491,0
13.750,0.3510,
13.800,0.3528,0
13.850,0.3546,
13.900,0.3567,0
13.950,0.3591,
14.000,0.3616,0
14.050,0.3642,
14.100,0.3667,0
14.150,0.3690,
14.200,0.3711,0
14.250,0.3731,
14.300,0.3752,0
14.350,0.3773,
14.400,0.3794,0
14.450,0.3814,
14.500,0.3834,0
14.550,0.3853,
14.600,0.3870,0
14.650,0.3886,
14.700,0.3901,0
14.750,0.3916,
14.800,0.3929,0
14.850,0.3943,
14.900,0.3955,0
14.950,0.3968,
15.000,0.3980,0
15.050,0.3991,
15.100,0.4001,0
15.150,0.4011,
15.200,0.4023,0
15.250,0.4034,
15.300,0.4045,0
15.350,0.4057,
15.400,0.4069,0
15.450,0.4081,
15.500,0.4095,0
15.550,0.4110,
15.600,0.4126,0
15.650,0.4143,
15.700,0.4160,0
15.750,0.4176,
15.800,0.4193,0
15.850,0.4212,
15.900,0.4230,0
15.950,0.4247,
16.000,0.4264,0
16.050,0.4281,
16.100,0.4297,0
16.150,0.4311,
16.200,0.4324,0
16.250,0.4336,
16.300,0.4347,0
16.350,0.4359,
16.400,0.4371,0
16.450,0.4383,
16.500,0.4396,0
16.550,0.4408,
16.600,0.4421,0
16.650,0.4435,
16.700,0.4449,1E-3
16.750,0.4463,
16.800,0.4479,1E-3
16.850,0.4495,
16.900,0.4512,1E-3
16.950,0.4531,
17.000,0.4550,1E-3
17.050,0.4570,
17.100,0.4589,1E-3
17.150,0.4606,
17.200,0.4621,9E-4
17.250,0.4634,
17.300,0.4645,9E-4
17.350,0.4656,
17.400,0.4667,9E-4
17.450,0.4680,
17.500,0.4694,9E-4
17.550,0.4709,
17.600,0.4725,9E-4
17.650,0.4739,
17.700,0.4753,9E-4
17.750,0.4767,
17.800,0.4781,9E-4
17.850,0.4795,
17.900,0.4811,8E-4
17.950,0.4826,
18.000,0.4841,8E-4
18.050,0.4854,
18.100,0.4868,8E-4
18.150,0.4882,
18.200,0.4896,8E-4
18.250,0.4909,
18.300,0.4922,8E-4
18.350,0.4935,
18.400,0.4947,7E-4
18.450,0.4960,
18.500,0.4973,7E-4
18.550,0.4987,
18.600,0.5000,7E-4
18.650,0.5013,
18.700,0.5026,7E-4
18.750,0.5040,
18.800,0.5053,6E-4
18.850,0.5066,
18.900,0.5078,6E-4
18.950,0.5091,
19.000,0.5103,6E-4
19.050,0.5115,
19.100,0.5129,6E-4
19.150,0.5144,
19.200,0.5161,5E-4
19.250,0.5178,
19.300,0.5195,5E-4
19.350,0.5211,
19.400,0.5227,5E-4
19.450,0.5240,
19.500,0.5252,4E-4
19.550,0.5260,
19.600,0.5268,4E-4
19.650,0.5275,
19.700,0.5283,4E-4
19.750,0.5291,
19.800,0.5298,4E-4
19.850,0.5307,
19.900,0.5317,4E-4
19.950,0.5326,
20.000,0.5338,3E-4
20.050,0.5350,
20.100,0.5363,3E-4
20.150,0.5377,
20.200,0.5392,3E-4
20.250,0.5403,
20.300,0.5413,3E-4
20.350,0.5424,
20.400,0.5436,3E-4
20.450,0.5449,
20.500,0.5464,2E-4
20.550,0.5479,
20.600,0.5494,2E-4
20.650,0.5509,
20.700,0.5525,2E-4
20.750,0.5538,
20.800,0.5551,2E-4
20.850,0.5561,
20.900,0.5569,2E-4
20.950,0.5577,
21.000,0.5585,2E-4
21.050,0.5592,
21.100,0.5599,2E-4
21.150,0.5607,
21.200,0.5613,2E-4
21.250,0.5620,
21.300,0.5627,2E-4
21.350,0.5634,
21.400,0.5642,2E-4
21.450,0.5652,
21.500,0.5664,1E-4
21.550,0.5679,
21.600,0.5694,1E-4
21.650,0.5710,
21.700,0.5725,1E-4
21.750,0.5737,
21.800,0.5748,1E-4
21.850,0.5758,
21.900,0.5768,1E-4
21.950,0.5780,
22.000,0.5791,1E-4
22.050,0.5800,
22.100,0.5809,1E-4
22.150,0.5817,
22.200,0.5826,9E-5
22.250,0.5837,
22.300,0.5849,9E-5
22.350,0.5861,
22.400,0.5873,8E-5
22.450,0.5886,
22.500,0.5897,8E-5
22.550,0.5907,
22.600,0.5918,8E-5
22.650,0.5926,
22.700,0.5934,7E-5
22.750,0.5940,
22.800,0.5945,7E-5
22.850,0.5951,
22.900,0.5957,7E-5
22.950,0.5964,
23.000,0.5975,7E-5
23.050,0.5986,
23.100,0.5998,6E-5
23.150,0.6011,
23.200,0.6024,6E-5
23.250,0.6037,
23.300,0.6049,5E-5
23.350,0.6062,
23.400,0.6076,5E-5
23.450,0.6090,
23.500,0.6105,5E-5
23.550,0.6121,
23.600,0.6135,5E-5
23.650,0.6150,
23.700,0.6163,4E-5
23.750,0.6174,
23.800,0.6184,4E-5
23.850,0.6192,
23.900,0.6200,4E-5
23.950,0.6208,
24.000,0.6215,4E-5
24.050,0.6222,
24.100,0.6230,4E-5
24.150,0.6237,
24.200,0.6244,3E-5
24.250,0.6253,
24.300,0.6264,3E-5
24.350,0.6275,
24.400,0.6284,3E-5
24.450,0.6295,
24.500,0.6305,3E-5
24.550,0.6317,
24.600,0.6330,3E-5
24.650,0.6343,
24.700,0.6357,3E-5
24.750,0.6370,
24.800,0.6383,3E-5
24.850,0.6395,
24.900,0.6409,2E-5
24.950,0.6423,
25.000,0.6436,2E-5
25.050,0.6451,
25.100,0.6465,2E-5
25.150,0.6479,
25.200,0.6492,2E-5
25.250,0.6503,
25.300,0.6511,2E-5
25.350,0.6517,
25.400,0.6523,2E-5
25.450,0.6529,
25.500,0.6536,2E-5
25.550,0.6543,
25.600,0.6550,2E-5
25.650,0.6556,
25.700,0.6562,1E-5
25.750,0.6569,
25.800,0.6574,2E-5
25.850,0.6582,
25.900,0.6591,2E-5
25.950,0.6599,
26.000,0.6608,1E-5
26.050,0.6616,
26.100,0.6625,1E-5
26.150,0.6635,
26.200,0.6644,1E-5
26.250,0.6653,
26.300,0.6663,1E-5
26.350,0.6672,
26.400,0.6680,1E-5
26.450,0.6687,
26.500,0.6694,9E-6
26.550,0.6702,
26.600,0.6710,8E-6
26.650,0.6718,
26.700,0.6725,9E-6
26.750,0.6732,
26.800,0.6739,6E-6
26.850,0.6746,
26.900,0.6755,7E-6
26.950,0.6765,
27.000,0.6777,9E-6
27.050,0.6790,
27.100,0.6802,7E-6
27.150,0.6811,
27.200,0.6818,7E-6
27.250,0.6825,
27.300,0.6832,7E-6
27.350,0.6839,
27.400,0.6848,6E-6
27.450,0.6857,
27.500,0.6867,6E-6
27.550,0.6875,
27.600,0.6882,5E-6
27.650,0.6888,
27.700,0.6895,5E-6
27.750,0.6901,
27.800,0.6907,4E-6
27.850,0.6914,
27.900,0.6921,3E-6
27.950,0.6928,
28.000,0.6934,3E-6
28.050,0.6941,
28.100,0.6947,2E-6
28.150,0.6953,
28.200,0.6959,2E-6
28.250,0.6965,
28.300,0.6971,2E-6
28.350,0.6976,
28.400,0.6980,2E-6
28.450,0.6983,
28.500,0.6986,2E-6
28.550,0.6988,
28.600,0.6988,3E-6
28.650,0.6988,
28.700,0.6988,4E-6
28.750,0.6988,
28.800,0.6987,2E-6
28.850,0.6986,
28.900,0.6984,2E-6
28.950,0.6987,
29.000,0.6992,4E-6
29.050,0.6991,
29.100,0.6991,2E-6
29.150,0.6991,
29.200,0.6992,2E-6
29.250,0.6992,
29.300,0.6991,2E-6
29.350,0.6991,
29.400,0.6991,5E-7
29.450,0.6991,
29.500,0.6991,3E-6
29.550,0.6991,
29.600,0.6991,5E-7
29.650,0.6991,
29.700,0.6991,7E-7
29.750,0.6991,
29.800,0.6991,2E-6
29.850,0.6991,
29.900,0.6991,1E-6
29.950,0.6991,
30.000,0.6991,8E-7
30.050,0.6991,
30.100,0.6991,2E-6
30.150,0.6991,
30.200,0.6991,1E-6
30.250,0.6991,
30.300,0.6991,3E-6
30.350,0.6991,
30.400,0.6991,